epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1414.94,1.43382,2.47656,1.42031,0.96575,0.07346,0.08075,0.04525,1.46851,1.51569,1.37974,0.00015842,0.00015842,0.00015842
2,2857.06,1.19392,1.35436,1.27937,0.57515,0.08043,0.09033,0.05318,1.37378,1.31122,1.27327,0.000254303,0.000254303,0.000254303
