epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1257.29,1.43376,2.19487,1.42685,0.84005,0.0737,0.08329,0.04807,1.39805,1.42265,1.31649,0.000158605,0.000158605,0.000158605
2,2492.73,1.20287,1.39116,1.27978,0.53309,0.08065,0.08739,0.05137,1.35832,1.24035,1.28856,0.000254452,0.000254452,0.000254452
3,3712.49,1.13129,1.26234,1.23666,0.66964,0.09055,0.09336,0.05637,1.30296,1.17535,1.25582,0.000287467,0.000287467,0.000287467
4,4937.22,1.05121,1.14753,1.1919,0.66736,0.08813,0.09766,0.05943,1.26412,1.09933,1.21255,0.000193256,0.000193256,0.000193256
5,6196.03,0.98868,1.07172,1.15924,0.60251,0.08675,0.10065,0.06157,1.18528,1.0312,1.15761,9.9008e-05,9.9008e-05,9.9008e-05
