epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1318.1,1.4228,2.17866,1.42348,0.65281,0.07351,0.08222,0.04644,1.41377,1.45414,1.37172,0.000158605,0.000158605,0.000158605
2,2576.22,1.20944,1.39358,1.28599,0.56104,0.08063,0.09008,0.05254,1.36156,1.26285,1.2918,0.000254452,0.000254452,0.000254452
3,3825.74,1.12467,1.25773,1.23326,0.59973,0.09104,0.09342,0.05448,1.33964,1.20542,1.28447,0.000287467,0.000287467,0.000287467
4,5071.89,1.05747,1.154,1.19707,0.5933,0.0941,0.09397,0.05602,1.28501,1.1428,1.22644,0.000193256,0.000193256,0.000193256
5,6319.63,0.98852,1.07409,1.16079,0.66602,0.09404,0.09902,0.0604,1.21687,1.04951,1.18076,9.9008e-05,9.9008e-05,9.9008e-05
